team,epa_2025_total_points_mean,epa_2025_total_points_sd,epa_2025_unitless,epa_2025_norm,epa_2025_conf_low,epa_2025_conf_high,epa_2025_breakdown_total_points,epa_2025_breakdown_auto_points,epa_2025_breakdown_teleop_points,epa_2025_breakdown_endgame_points,epa_2025_breakdown_auto_rp,epa_2025_breakdown_coral_rp,epa_2025_breakdown_barge_rp,epa_2025_breakdown_tiebreaker_points,epa_2025_breakdown_auto_leave_points,epa_2025_breakdown_auto_coral,epa_2025_breakdown_auto_coral_points,epa_2025_breakdown_teleop_coral,epa_2025_breakdown_teleop_coral_points,epa_2025_breakdown_coral_l1,epa_2025_breakdown_coral_l2,epa_2025_breakdown_coral_l3,epa_2025_breakdown_coral_l4,epa_2025_breakdown_total_coral_points,epa_2025_breakdown_processor_algae,epa_2025_breakdown_processor_algae_points,epa_2025_breakdown_net_algae,epa_2025_breakdown_net_algae_points,epa_2025_breakdown_total_algae_points,epa_2025_breakdown_total_game_pieces,epa_2025_breakdown_barge_points,epa_2025_breakdown_rp_1,epa_2025_breakdown_rp_2,epa_2025_breakdown_rp_3,epa_2025_stats_start,epa_2025_stats_pre_champs,epa_2025_stats_max,epa_2025_ranks_total_rank,epa_2025_ranks_total_percentile,epa_2025_ranks_total_team_count,epa_2025_ranks_country_rank,epa_2025_ranks_country_percentile,epa_2025_ranks_country_team_count,epa_2025_ranks_state_rank,epa_2025_ranks_state_percentile,epa_2025_ranks_state_team_count,epa_2025_ranks_district_rank,epa_2025_ranks_district_percentile,epa_2025_ranks_district_team_count,epa_2024_total_points_mean,epa_2024_total_points_sd,epa_2024_unitless,epa_2024_norm,epa_2024_conf_low,epa_2024_conf_high,epa_2024_breakdown_total_points,epa_2024_breakdown_auto_points,epa_2024_breakdown_teleop_points,epa_2024_breakdown_endgame_points,epa_2024_breakdown_melody_rp,epa_2024_breakdown_ensemble_rp,epa_2024_breakdown_tiebreaker_points,epa_2024_breakdown_auto_leave_points,epa_2024_breakdown_auto_notes,epa_2024_breakdown_auto_note_points,epa_2024_breakdown_teleop_notes,epa_2024_breakdown_teleop_note_points,epa_2024_breakdown_amp_notes,epa_2024_breakdown_amp_points,epa_2024_breakdown_speaker_notes,epa_2024_breakdown_speaker_points,epa_2024_breakdown_amplified_notes,epa_2024_breakdown_total_notes,epa_2024_breakdown_total_note_points,epa_2024_breakdown_endgame_park_points,epa_2024_breakdown_endgame_on_stage_points,epa_2024_breakdown_endgame_harmony_points,epa_2024_breakdown_endgame_trap_points,epa_2024_breakdown_endgame_spotlight_points,epa_2024_breakdown_rp_1,epa_2024_breakdown_rp_2,epa_2024_stats_start,epa_2024_stats_pre_champs,epa_2024_stats_max,epa_2024_ranks_total_rank,epa_2024_ranks_total_percentile,epa_2024_ranks_total_team_count,epa_2024_ranks_country_rank,epa_2024_ranks_country_percentile,epa_2024_ranks_country_team_count,epa_2024_ranks_state_rank,epa_2024_ranks_state_percentile,epa_2024_ranks_state_team_count,epa_2024_ranks_district_rank,epa_2024_ranks_district_percentile,epa_2024_ranks_district_team_count
1,19.0,5.09,1441.0,1481.0,-0.8,1.16,19.0,4.39,13.01,1.6,0.248,-0.0608,0.08319,-0.04,2.71,0.28,1.68,3.16,12.01,0.86,0.42,0.39,1.71,13.69,0.31,0.92,0.02,0.08,1.0,3.71,1.6,0.248,-0.0608,0.08319,27.85,19.0,19.28,1972,0.4688,3712,1628,0.4476,2947,304,0.4253,529,304,0.4253,529,22.67,4.03,1594.0,1567.0,-0.78,0.98,22.67,8.49,12.16,2.03,0.4059,-0.1348,0.33,1.85,1.32,6.64,5.59,12.16,1.55,1.54,5.37,17.25,0.84,6.91,18.79,0.3,1.89,0.03,-0.17,-0.03,0.4059,-0.1348,14.53,22.67,23.82,797.0,0.7708,3477.0,692.0,0.754,2813.0,130.0,0.7456,511.0,130.0,0.7456,511.0
4,22.35,6.1,1464.0,1507.0,-1.02,0.78,22.35,2.61,18.09,1.65,0.0587,-0.0583,0.16007,0.07,2.98,-0.07,-0.37,3.28,12.45,0.28,0.96,1.15,0.86,12.08,0.51,1.53,1.03,4.11,5.64,4.8,1.65,0.0587,-0.0583,0.16007,26.81,22.35,25.45,1529,0.5881,3712,1250,0.5758,2947,136,0.531,290,766,0.6094,1961,20.66,6.27,1569.0,1551.0,-0.94,0.83,20.66,8.71,10.27,1.68,0.1222,0.1592,0.31,1.79,1.38,6.92,4.73,10.27,1.18,1.16,4.93,16.02,0.66,6.11,17.19,0.14,1.18,0.07,0.38,-0.1,0.1222,0.1592,14.33,21.35,22.11,979.0,0.7184,3477.0,839.0,0.7017,2813.0,95.0,0.6631,282.0,423.0,0.7655,1804.0
8,42.29,5.47,1599.0,1643.0,-0.9,1.17,42.29,12.3,26.01,3.98,0.3445,-0.023,0.10314,-0.01,2.64,1.4,9.66,5.91,26.66,0.08,0.6,1.45,5.14,36.32,-0.36,-1.08,0.11,0.43,-0.65,7.02,3.98,0.3445,-0.023,0.10314,28.84,42.29,42.96,311,0.9162,3712,246,0.9165,2947,26,0.9103,290,126,0.9357,1961,22.83,4.77,1595.0,1568.0,-0.84,0.92,22.83,10.09,11.98,0.76,0.23,-0.0362,0.16,1.43,1.73,8.66,4.74,11.98,1.15,1.15,5.33,19.5,1.22,6.47,20.65,0.91,0.09,-0.1,-0.09,-0.05,0.23,-0.0362,17.01,22.6,23.72,786.0,0.7739,3477.0,683.0,0.7572,2813.0,77.0,0.727,282.0,334.0,0.8149,1804.0
11,53.47,5.32,1675.0,1717.0,-0.81,1.1,53.47,10.34,34.85,8.28,0.4405,-0.032,0.56461,0.02,3.19,1.08,7.15,7.39,31.84,0.65,1.01,1.1,5.59,38.99,0.25,0.75,0.56,2.25,3.0,9.17,8.28,0.4405,-0.032,0.56461,31.7,53.47,53.47,131,0.9647,3712,105,0.9644,2947,3,0.9677,93,5,0.964,139,23.84,3.1,1608.0,1576.0,-0.86,0.9,23.84,7.8,11.96,4.08,0.4291,0.1752,0.26,1.99,1.63,5.82,5.36,11.96,4.47,5.25,2.52,12.53,1.64,6.99,17.78,-0.02,3.22,0.21,0.51,0.16,0.4291,0.1752,19.11,23.84,24.03,705.0,0.7972,3477.0,614.0,0.7817,2813.0,20.0,0.7701,87.0,37.0,0.7087,127.0
16,38.81,6.53,1576.0,1621.0,-0.92,1.04,38.81,9.71,26.58,2.52,0.2107,0.0485,0.14058,0.01,2.61,1.08,7.1,6.02,23.28,0.98,0.98,1.92,3.13,30.38,0.16,0.49,0.7,2.81,3.3,7.87,2.52,0.2107,0.0485,0.14058,39.57,38.81,38.81,407,0.8904,3712,323,0.8904,2947,2,0.8333,12,171,0.9128,1961,36.01,6.34,1756.0,1696.0,-0.63,1.06,36.01,8.63,24.78,2.6,0.3617,0.1783,0.21,1.6,1.41,7.02,8.04,24.78,3.19,3.2,6.26,28.61,3.96,9.45,31.8,0.47,1.84,0.47,-0.23,0.07,0.3617,0.1783,21.97,29.29,36.01,156.0,0.9551,3477.0,135.0,0.952,2813.0,2.0,0.8333,12.0,57.0,0.9684,1804.0
20,45.16,6.32,1619.0,1661.0,-0.91,1.24,45.16,5.25,32.22,7.68,0.2217,0.0732,0.29587,-0.02,2.83,0.38,2.42,7.57,32.19,0.35,1.1,2.39,4.03,34.61,0.0,0.0,0.01,0.03,0.04,7.93,7.68,0.2217,0.0732,0.29587,30.45,45.16,45.16,244,0.9343,3712,194,0.9342,2947,13,0.9139,151,99,0.9495,1961,22.39,3.7,1590.0,1564.0,-0.81,1.01,22.39,6.93,13.58,1.89,0.2965,0.0082,0.14,1.39,1.1,5.54,5.47,13.58,1.42,1.42,5.15,17.71,1.36,6.57,19.12,0.39,1.21,0.16,-0.03,0.16,0.2965,0.0082,19.31,22.39,22.39,828.0,0.7619,3477.0,718.0,0.7448,2813.0,37.0,0.7431,144.0,358.0,0.8016,1804.0
21,24.14,3.5,1476.0,1520.0,-1.96,1.96,24.14,4.94,16.41,2.79,0.1295,-0.0795,0.09853,0.03,2.53,0.41,2.41,3.53,13.96,0.6,0.53,0.91,1.81,16.37,0.3,0.89,0.39,1.56,2.45,4.53,2.79,0.1295,-0.0795,0.09853,24.14,24.14,24.14,1325,0.643,3712,1092,0.6295,2947,20,0.7674,86,643,0.6721,1961,15.9,2.76,1511.0,1513.0,-0.84,0.97,15.9,2.74,11.49,1.67,0.2839,-0.026,0.25,0.98,0.35,1.75,5.76,11.49,0.72,0.72,5.39,12.53,0.23,6.11,13.25,0.27,1.64,-0.08,-0.15,-0.01,0.2839,-0.026,12.97,15.9,15.9,1504.0,0.5674,3477.0,1282.0,0.5443,2813.0,29.0,0.6329,79.0,701.0,0.6114,1804.0
22,18.04,3.5,1435.0,1473.0,-1.96,1.96,18.04,3.69,12.26,2.08,0.0967,-0.0835,0.07291,0.03,1.89,0.31,1.8,2.64,10.43,0.44,0.4,0.68,1.35,12.23,0.22,0.67,0.29,1.16,1.83,3.39,2.08,0.0967,-0.0835,0.07291,18.04,18.04,18.04,2122,0.4283,3712,1747,0.4072,2947,186,0.3586,290,1099,0.4396,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22.12,3.73,1462.0,1503.0,-0.84,1.11,22.12,3.92,16.89,1.3,0.1201,-0.1322,0.0392,0.01,2.89,0.36,1.03,3.93,15.12,0.17,0.4,3.25,0.11,16.15,0.15,0.45,0.33,1.32,1.77,4.41,1.3,0.1201,-0.1322,0.0392,26.7,22.12,22.12,1589,0.5723,3715,1300,0.5592,2949,36,0.6129,93,62,0.554,139,14.81,2.65,1498.0,1503.0,-0.8,0.96,14.81,4.82,8.98,1.01,0.0279,-0.1056,0.11,1.6,0.64,3.22,4.54,8.98,0.69,0.68,4.49,11.52,0.19,5.18,12.2,0.43,0.7,-0.02,-0.06,-0.04,0.0279,-0.1056,18.67,14.81,15.93,1646.0,0.5266,3477.0,1397.0,0.5034,2813.0,44.0,0.4943,87.0,69.0,0.4567,127.0
27,67.13,7.59,1768.0,1810.0,-0.73,1.02,67.13,13.6,43.45,10.08,0.4703,0.3627,0.57487,-0.03,3.4,1.52,10.2,10.86,42.86,1.11,2.17,3.74,5.26,53.06,-0.31,-0.94,0.38,1.54,0.59,12.34,10.08,0.4703,0.3627,0.57487,43.91,67.13,67.13,27,0.9927,3712,17,0.9942,2947,1,0.9981,529,1,0.9981,529,44.22,6.14,1856.0,1790.0,-0.94,0.82,44.22,11.83,28.99,3.4,0.6258,0.2322,0.25,1.97,1.99,9.86,8.31,28.99,3.27,3.31,7.03,35.54,5.2,10.3,38.84,0.19,2.1,0.53,0.39,0.19,0.6258,0.2322,22.68,45.48,46.97,35.0,0.9899,3477.0,29.0,0.9897,2813.0,6.0,0.9883,511.0,6.0,0.9883,511.0
